Year,Domestic_Original,Domestic_Adjusted,Worldwide_Original,Worldwide_Adjusted,Foreign_Original,MedianIncome,YoY_Growth_Domestic_Original,YoY_Growth_Domestic_Adjusted,YoY_Growth_Worldwide_Original,YoY_Growth_Worldwide_Adjusted,YoY_Growth_MedianIncome,YoY_Growth_Foreign
2000,1492686579.1764708,1879679396.0,3753303238.0,3753303238.0,1873623842.0,37005.0,,,,,,
2001,3822052697.4375,2264920117.0,5272146205.0,5272146205.0,3007226088.0,38885.0,156.05192347519883,20.495022811858288,40.466833364877196,40.466833364877196,5.080394541278199,60.50319282817922
2002,2530629109.0384617,2436902105.0,5661371813.0,5661371813.0,3224469708.0,40696.0,-33.788743657691455,7.593291556251391,7.3826785689453445,7.3826785689453445,4.657322875144665,7.224053451347956
2003,3269746047.789474,2300932404.0,5864563904.0,5864563904.0,3563631500.0,41990.0,29.20684568557135,-5.579612768236331,3.589096383555268,3.589096383555268,3.179673678002759,10.518374266581887
2004,2178609581.25,2582055800.0,6061342941.0,6061326086.0,3479270286.0,42228.0,-33.37067926963751,12.217803335347345,3.3553907881502365,3.3551033840009126,0.5668016194331882,-2.3672821951427947
2005,1740832409.6756756,2385585154.0,5901069492.0,5901069492.0,3515484338.0,42409.0,-20.09433793654507,-7.609078239130229,-2.64419041390781,-2.6439196922625308,0.4286255565028041,1.0408519322490983
2006,2779832315.0454545,2265048553.0,5763981068.0,5763980596.0,3498932043.0,43318.0,59.68408559002809,-5.052705865388695,-2.323111500141606,-2.323119498691717,2.1434129547973413,-0.4708396740978449
2007,1749385537.6829271,2656474335.0,6972686049.0,6972678048.0,4316203713.0,44334.0,-37.068666760414935,17.28112103740851,20.96996792217778,20.96983901782725,2.345445311417893,23.35774630533458
2008,9529192801.285715,2470531467.0,6381496644.0,6381496432.0,3910964965.0,46326.0,444.7165645319782,-6.999610933564693,-8.478646548051394,-8.47854456968038,4.493165516308029,-9.388777151075123
2009,4299931758.31579,3025877904.0,9093905599.0,9093905599.0,6068027695.0,48201.0,-54.87622248827175,22.478824674690934,42.504276133252475,42.50428086739389,4.047403186115783,55.15423301676137
2010,4541559365.117647,2859500341.0,7585917868.0,7585917868.0,4726417527.0,50233.0,5.6193358495647105,-5.498488976705252,-16.582399218723186,-16.582399218723186,4.215680172610536,-22.10949315715013
2011,2115385719.967742,2428776197.0,7920134316.0,7920134316.0,5491358119.0,50303.0,-53.42159928117677,-15.062916336263521,4.405748306475066,4.405748306475066,0.1393506260824573,16.184363476781762
2012,4796941687.5,3197961125.0,9289768416.0,9289768416.0,6091807291.0,49777.0,126.76439772757612,31.669650293431296,17.29306657379672,17.29306657379672,-1.0456632805200483,10.934438421024794
2013,6520552477.615385,3139525267.0,8860118960.0,8860118960.0,5720593693.0,49276.0,35.93145179577264,-1.8272848141642095,-4.624974883765709,-4.624974883765709,-1.0064889406754096,-6.093653004231248
2014,13529102608.800001,2505389372.0,7907782038.0,7907782038.0,5402392666.0,50054.0,107.48399242617084,-20.198464451472752,-10.748579407335635,-10.748579407335635,1.5788619206104304,-5.5623776844939465
2015,15423664255.714289,3998727770.0,11521149654.0,11521149654.0,7522421884.0,51017.0,14.003601729518778,59.605042421326274,45.693819058698736,45.693819058698736,1.923922164062808,39.24241255809524
2016,4605977859.954545,3753018997.0,9326166695.0,9326166695.0,5573147698.0,51939.0,-70.13694162690241,-6.144673684550428,-19.051770221888653,-19.051770221888653,1.8072407236803478,-25.91285381302605
2017,4263178193.1818185,3473700750.0,10120132036.0,10120132036.0,6646431286.0,53585.0,-7.442494888069429,-7.44249488806944,8.51330848960341,8.51330848960341,3.169102216061148,19.258122091132847
2018,5497183427.684212,3868388338.0,11039666051.0,11039666051.0,7171277713.0,53657.0,28.945663976137826,11.362164343028102,9.086185948256142,9.086185948256142,0.13436596062330608,7.896665208975118
2019,5987973319.714286,4657312582.0,13245290251.0,13245290251.0,8587977669.0,56516.0,8.928024660018096,20.39413251896738,19.979084419860783,19.979084419860783,5.328288946456183,19.75519583395613
2020,1011643301.8125,599492327.0,3392530620.0,3392530620.0,2793038293.0,59039.0,-83.10541400573959,-87.1279344805635,-74.3868910706289,-74.3868910706289,4.464222521055983,-67.47734564934859
2021,671655496.135135,1840833582.0,7639757016.0,7639757016.0,5798923434.0,61372.0,-33.60747855180076,207.06541169792155,125.19345797385904,125.19345797385904,3.951625196903752,107.62062047389196
2022,1651177128.65625,3913901342.0,10214616082.0,10214616082.0,6300714740.0,61136.0,145.83691165448874,112.61570737685508,33.703415705597095,33.703415705597095,-0.38454018119011835,8.653180399967319
2023,2381930944.03125,2823029267.0,8514891400.0,8514891400.0,5691862133.0,63179.0,44.25653690889586,-27.87173154555207,-16.64012301935872,-16.64012301935872,3.341729913635172,-9.663230794035282
2024,3585935112.0,3585935112.0,8304599724.0,8304599724.0,4718664612.0,,50.54740025044797,27.02436896131548,-2.469692989860095,-2.469692989860095,,-17.098051538487603
